"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
849000000,41,41201,412010000,"849-0000",0,0,"佐賀県","サガケン","佐賀市","サガシ",,"　","（該当なし）",,,,,,,,
840850200,41,41201,412010000,"840-8502",1,0,"佐賀県","サガケン","佐賀市","サガシ",,"　","（該当なし）",,,,,"佐賀大学","サガダイガク","本庄町１",
840081200,41,41201,412010001,"840-0812",0,0,"佐賀県","サガケン","佐賀市","サガシ","愛敬町","アイケイチョウ",,,,,,,,,
840004200,41,41201,412010002,"840-0042",0,0,"佐賀県","サガケン","佐賀市","サガシ","赤松町","アカマツマチ",,,,,,,,,
840005300,41,41201,412010003,"840-0053",0,0,"佐賀県","サガケン","佐賀市","サガシ","朝日町","アサヒマチ",,,,,,,,,
840084400,41,41201,412010004,"840-0844",0,0,"佐賀県","サガケン","佐賀市","サガシ","伊勢町","イセマチ",,,,,,,,,
840868600,41,41201,412010004,"840-8686",1,0,"佐賀県","サガケン","佐賀市","サガシ","伊勢町","イセマチ",,,,,,"株式会社　ミゾタ","カブシキガイシヤ　ミゾタ","伊勢町１５－１",
840005200,41,41201,412010005,"840-0052",0,0,"佐賀県","サガケン","佐賀市","サガシ","今宿町","イマシュクマチ",,,,,,,,,
840080100,41,41201,412010006,"840-0801",0,0,"佐賀県","サガケン","佐賀市","サガシ","駅前中央","エキマエチュウオウ",,,,,,,,,
840861100,41,41201,412010006,"840-8611",1,0,"佐賀県","サガケン","佐賀市","サガシ","駅前中央","エキマエチュウオウ",,,,,,"佐賀税務署","サガゼイムシヨ","駅前中央３丁目３－２０佐賀第二合同庁舎",
840081600,41,41201,412010007,"840-0816",0,0,"佐賀県","サガケン","佐賀市","サガシ","駅南本町","エキミナミホンマチ",,,,,,,,,
840856000,41,41201,412010007,"840-8560",1,0,"佐賀県","サガケン","佐賀市","サガシ","駅南本町","エキミナミホンマチ",,,,,,"全国健康保険協会　佐賀支部","ゼンコクケンコウホケンキヨウカイ　サガシブ","駅南本町６－４佐賀中央第一生命ビル",
840850800,41,41201,412010007,"840-8508",1,0,"佐賀県","サガケン","佐賀市","サガシ","駅南本町","エキミナミホンマチ",,,,,,"佐賀県酒造組合","サガケンシユゾウクミアイ","駅南本町６－１４",
840081100,41,41201,412010008,"840-0811",0,0,"佐賀県","サガケン","佐賀市","サガシ","大財","オオタカラ",,,,,,,,,
840080200,41,41201,412010009,"840-0802",0,0,"佐賀県","サガケン","佐賀市","サガシ","大財北町","オオタカラキタマチ",,,,,,,,,
840002100,41,41201,412010010,"840-0021",0,0,"佐賀県","サガケン","佐賀市","サガシ","鬼丸町","オニマルチョウ",,,,,,,,,
849093300,41,41201,412010011,"849-0933",0,0,"佐賀県","サガケン","佐賀市","サガシ","卸本町","オロシホンマチ",,,,,,,,,
